npz_path,clip_id,source_amass,start_s,end_s,duration_s,caption_1,caption_2,caption_3,caption_4,all_captions,caption_1_hi,caption_1_bn,caption_1_ta,caption_2_hi,caption_2_bn,caption_2_ta,caption_3_hi,caption_3_bn,caption_3_ta,caption_4_hi,caption_4_bn,caption_4_ta,caption_1_te,caption_2_te,caption_3_te,caption_4_te,subset,super_group,split
https://huggingface.co/datasets/AdiShingote/pragya-vla-g1-motion-dataset/resolve/main/BMLmovi/_D%3A%5CHumanML3d%5Camass_data%5CBMLmovi%5CSubject_52_F_MoSh%5CSubject_52_F_6_poses_keypoints_retargeted.npz,10,BMLmovi/Subject_52_F_MoSh/Subject_52_F_6_poses.npz,0.0,3.5,3.5,a Robot pats his left hand with his right hand.,Robot uses his right hand to tap on the wrist of his left wrist like Robot's using a wrist watch or smart watch,"with their left hand, the Robot raises it up, and with their right hand, Robot tap on their left wrist with their finger, seeming to give a time-related message.",a Robot pats the top of the left hand with their right hand.,"a Robot pats his left hand with his right hand. | Robot uses his right hand to tap on the wrist of his left wrist like Robot's using a wrist watch or smart watch | with their left hand, the Robot raises it up, and with their right hand, Robot tap on their left wrist with their finger, seeming to give a time-related message. | a Robot pats the top of the left hand with their right hand.",एक रोबोट अपने बाएं हाथ को अपने दाहिने हाथ से थपथपाता है।,একটি রোবট তার ডান হাত দিয়ে তার বাম হাতে চাপ দিচ্ছে।,ஒரு ரோபோ தனது இடது கையை வலது கையால் தட்டுகிறது.,रोबोट अपने दाहिने हाथ का उपयोग अपनी बायीं कलाई पर टैप करने के लिए करता है जैसे रोबोट कलाई घड़ी या स्मार्ट घड़ी का उपयोग करता है,রোবট তার বাম হাতের কব্জিতে টোকা দিতে তার ডান হাত ব্যবহার করে যেমন রোবট একটি কব্জি বা স্মার্ট ঘড়ি ব্যবহার করে,ரோபோட் தனது வலது கையைப் பயன்படுத்தி இடது மணிக்கட்டின் மணிக்கட்டில் தட்டுகிறது.,"अपने बाएं हाथ से, रोबोट उसे ऊपर उठाता है, और अपने दाहिने हाथ से, रोबोट अपनी उंगली से उनकी बायीं कलाई पर टैप करता है, जो समय से संबंधित संदेश देता प्रतीत होता है।","তাদের বাম হাত দিয়ে, রোবট এটিকে উপরে তোলে এবং তাদের ডান হাত দিয়ে, রোবট তাদের আঙুল দিয়ে তাদের বাম হাতের কব্জিতে টোকা দেয়, মনে হয় একটি সময়-সম্পর্কিত বার্তা দেয়।","அவர்களின் இடது கையால், ரோபோ அதை உயர்த்துகிறது, மேலும் அவர்களின் வலது கையால், ரோபோட் அவர்களின் இடது மணிக்கட்டில் விரலால் தட்டுகிறது, நேரம் தொடர்பான செய்தியைக் கொடுப்பது போல் தெரிகிறது.",एक रोबोट अपने दाहिने हाथ से बाएं हाथ के ऊपरी हिस्से को थपथपाता है।,একটি রোবট তাদের ডান হাত দিয়ে বাম হাতের উপরের দিকে চাপ দিচ্ছে।,ஒரு ரோபோ இடது கையின் மேல் வலது கையால் தட்டுகிறது.,ఒక రోబోట్ తన ఎడమ చేతిని తన కుడి చేతితో తడుముతుంది.,రోబోట్ తన కుడి చేతిని ఉపయోగించి మణికట్టు వాచ్ లేదా స్మార్ట్ వాచ్‌ని ఉపయోగించి రోబోట్ తన ఎడమ మణికట్టు మణికట్టు మీద నొక్కుతుంది,"వారి ఎడమ చేతితో, రోబోట్ దానిని పైకి లేపుతుంది మరియు వారి కుడి చేతితో, రోబోట్ వారి ఎడమ చేతి మణికట్టుపై వారి వేలితో నొక్కండి, సమయానికి సంబంధించిన సందేశాన్ని ఇస్తున్నట్లు అనిపిస్తుంది.",ఒక రోబోట్ తమ కుడి చేతితో ఎడమ చేతి పైభాగాన్ని తడుముతుంది.,BMLmovi,clip::10,reserve
https://huggingface.co/datasets/AdiShingote/pragya-vla-g1-motion-dataset/resolve/main/KIT/_D%3A%5CHumanML3d%5Camass_data%5CKIT%5C572%5Cviolin_right05_poses_keypoints_retargeted.npz,16,KIT/572/violin_right05_poses.npz,0.0,6.8,6.8,"a Robot bends their left arm at the elbow and raises their right arm towards it, then lowers both arms",Robot is playing the violin,"while holding their left arm in the air, a Robot makes a single sawing motion with their right hand.",,"a Robot bends their left arm at the elbow and raises their right arm towards it, then lowers both arms | Robot is playing the violin | while holding their left arm in the air, a Robot makes a single sawing motion with their right hand.","एक रोबोट अपने बाएं हाथ को कोहनी से मोड़ता है और अपने दाहिने हाथ को उसकी ओर उठाता है, फिर दोनों हाथों को नीचे कर देता है","একটি রোবট তাদের বাম হাতটি কনুইতে বাঁকিয়ে তাদের ডান হাতটি তার দিকে বাড়ায়, তারপর উভয় বাহু নামিয়ে দেয়","ஒரு ரோபோ தனது இடது கையை முழங்கையில் வளைத்து வலது கையை அதை நோக்கி உயர்த்தி, பின்னர் இரு கைகளையும் தாழ்த்துகிறது.",रोबोट वायलिन बजा रहा है,বেহালা বাজাচ্ছে রোবট,ரோபோ வயலின் வாசிக்கிறது,"अपने बाएं हाथ को हवा में रखते हुए, एक रोबोट अपने दाहिने हाथ से एक ही काटने की गति बनाता है।","বাতাসে তাদের বাম হাত ধরে রাখার সময়, একটি রোবট তাদের ডান হাত দিয়ে একক করাত মোশন করে।","அவர்களின் இடது கையை காற்றில் வைத்திருக்கும் போது, ​​ஒரு ரோபோ தனது வலது கையால் ஒற்றை அறுக்கும் இயக்கத்தை செய்கிறது.",,,,"ఒక రోబోట్ వారి ఎడమ చేతిని మోచేయి వద్ద వంచి, దాని వైపు వారి కుడి చేతిని పైకి లేపుతుంది, ఆపై రెండు చేతులను తగ్గిస్తుంది",రోబో వయోలిన్ వాయిస్తూ ఉంది,"వారి ఎడమ చేతిని గాలిలో పట్టుకున్నప్పుడు, ఒక రోబోట్ వారి కుడి చేతితో ఒకే కత్తిరింపు కదలికను చేస్తుంది.",,KIT,clip::12479,reserve
https://huggingface.co/datasets/AdiShingote/pragya-vla-g1-motion-dataset/resolve/main/BMLmovi/_D%3A%5CHumanML3d%5Camass_data%5CBMLmovi%5CSubject_85_F_MoSh%5CSubject_85_F_3_poses_keypoints_retargeted.npz,29,BMLmovi/Subject_85_F_MoSh/Subject_85_F_3_poses.npz,0.0,3.65,3.65,Robot fix his tie in the mirror,Robot puts their hands up to their shoulder area then drops them,a Robot bends their arms at the elbow and then lowers them,,Robot fix his tie in the mirror | Robot puts their hands up to their shoulder area then drops them | a Robot bends their arms at the elbow and then lowers them,रोबोट ने शीशे में अपनी टाई ठीक की,রোবট আয়নায় তার টাই ঠিক করে,ரோபோ தனது டையை கண்ணாடியில் சரி செய்கிறது,रोबोट अपने हाथों को उनके कंधे तक लाता है और फिर उन्हें गिरा देता है,রোবট তাদের হাত তাদের কাঁধ পর্যন্ত রাখে তারপর তাদের ফেলে দেয়,ரோபோ அவர்களின் தோள்பட்டை பகுதி வரை கைகளை வைத்து பின்னர் அவர்களை கைவிடுகிறது,एक रोबोट अपनी भुजाओं को कोहनी से मोड़ता है और फिर उन्हें नीचे कर देता है,একটি রোবট তাদের হাত কনুইতে বাঁকিয়ে তারপর নামিয়ে দেয়,ஒரு ரோபோ தங்கள் கைகளை முழங்கையில் வளைத்து பின்னர் அவற்றைக் குறைக்கிறது,,,,రోబోట్ అద్దంలో తన టైను సరిచేసుకుంది,"రోబోట్ వారి చేతులను వారి భుజం ప్రాంతం వరకు ఉంచుతుంది, ఆపై వాటిని పడవేస్తుంది","ఒక రోబోట్ వారి చేతులను మోచేయి వద్ద వంచి, ఆపై వాటిని తగ్గిస్తుంది",,BMLmovi,clip::32,reserve
https://huggingface.co/datasets/AdiShingote/pragya-vla-g1-motion-dataset/resolve/main/Eyes_Japan_Dataset/_D%3A%5CHumanML3d%5Camass_data%5CEyes_Japan_Dataset%5Chamada%5Cthrow_toss_13_pass_to_right_light_hamada_poses_keypoints_retargeted.npz,42,Eyes_Japan_Dataset/hamada/throw_toss-13-pass to right light-hamada_poses.npz,3.5,13.5,10.0,a Robot walks forward then moves their arms in unison from left to right,a Robot is passing objects from the left to the right initially heavy but then lighter objects.,a Robot passes something to the right,,a Robot walks forward then moves their arms in unison from left to right | a Robot is passing objects from the left to the right initially heavy but then lighter objects. | a Robot passes something to the right,एक रोबोट आगे बढ़ता है और फिर अपनी भुजाओं को बाएं से दाएं एक साथ घुमाता है,একটি রোবট সামনের দিকে হাঁটে তারপর তাদের বাহুগুলি একত্রে বাম থেকে ডানে নিয়ে যায়,"ஒரு ரோபோ முன்னோக்கி செல்கிறது, பின்னர் அவர்களின் கைகளை இடமிருந்து வலமாக ஒரே மாதிரியாக நகர்த்துகிறது",एक रोबोट बाईं से दाईं ओर पहले भारी लेकिन फिर हल्की वस्तुओं को पार कर रहा है।,একটি রোবট বাম থেকে ডানদিকে বস্তুগুলিকে প্রথমে ভারী কিন্তু তারপর হালকা বস্তুগুলিকে অতিক্রম করছে৷,ஒரு ரோபோ முதலில் கனமான ஆனால் பின்னர் இலகுவான பொருட்களை இடமிருந்து வலமாக அனுப்புகிறது.,एक रोबोट दाहिनी ओर से कुछ गुजरता है,একটি রোবট ডানদিকে কিছু পাস করে,ஒரு ரோபோ வலதுபுறம் எதையாவது கடந்து செல்கிறது,,,,ఒక రోబోట్ ముందుకు నడుస్తుంది మరియు ఎడమ నుండి కుడికి ఏకధాటిగా వారి చేతులను కదిలిస్తుంది,రోబోట్ ఎడమ నుండి కుడికి మొదట బరువుగా ఉన్న వస్తువులను కానీ తర్వాత తేలికైన వస్తువులను పంపుతుంది.,ఒక రోబో ఏదో కుడివైపునకు వెళుతుంది,,Eyes_Japan_Dataset,clip::54,reserve
https://huggingface.co/datasets/AdiShingote/pragya-vla-g1-motion-dataset/resolve/main/Eyes_Japan_Dataset/_D%3A%5CHumanML3d%5Camass_data%5CEyes_Japan_Dataset%5Chamada%5Cthrow_toss_13_pass_to_right_light_hamada_poses_keypoints_retargeted.npz,9970,Eyes_Japan_Dataset/hamada/throw_toss-13-pass to right light-hamada_poses.npz,12.5,22.5,10.0,"a Robot reaches forward with his hand, then moves it out to the side and back to the middle again several times.",a Robot repeatedly reaches for an object and appears to put it back with their right hand.,moving hand side to side.,,"a Robot reaches forward with his hand, then moves it out to the side and back to the middle again several times. | a Robot repeatedly reaches for an object and appears to put it back with their right hand. | moving hand side to side.","एक रोबोट अपने हाथ से आगे बढ़ता है, फिर उसे कई बार किनारे और वापस बीच में ले जाता है।","একটি রোবট তার হাত দিয়ে সামনের দিকে পৌঁছায়, তারপরে এটিকে পাশের দিকে এবং মাঝখানে আবার কয়েকবার সরিয়ে দেয়।","ஒரு ரோபோ தனது கையால் முன்னோக்கிச் செல்கிறது, பின்னர் அதை பக்கவாட்டாக நகர்த்துகிறது மற்றும் மீண்டும் நடுப்பகுதிக்கு பல முறை நகர்த்துகிறது.",एक रोबोट बार-बार किसी वस्तु तक पहुंचता है और उसे अपने दाहिने हाथ से वापस रखता हुआ दिखाई देता है।,একটি রোবট বারবার একটি বস্তুর কাছে পৌঁছায় এবং তাদের ডান হাত দিয়ে সেটিকে ফিরিয়ে দিতে দেখা যায়।,"ஒரு ரோபோ மீண்டும் மீண்டும் ஒரு பொருளை அடைந்து, அதைத் தங்கள் வலது கையால் திரும்பப் போடுவது போல் தோன்றுகிறது.",हाथ को अगल-बगल ले जाना.,হাত এদিক ওদিক সরানো।,கை பக்கமாக நகரும்.,,,,"ఒక రోబోట్ తన చేతితో ముందుకు చేరుకుంటుంది, తర్వాత దానిని పక్కకు మరియు తిరిగి మధ్యలోకి చాలాసార్లు కదిలిస్తుంది.",రోబోట్ పదేపదే ఒక వస్తువు కోసం చేరుకుంటుంది మరియు దానిని వారి కుడి చేతితో తిరిగి ఉంచినట్లు కనిపిస్తుంది.,చేతిని పక్కకు కదుపుతోంది.,,Eyes_Japan_Dataset,clip::54,reserve
https://huggingface.co/datasets/AdiShingote/pragya-vla-g1-motion-dataset/resolve/main/CMU/_D%3A%5CHumanML3d%5Camass_data%5CCMU%5C106%5C106_05_poses_keypoints_retargeted.npz,43,CMU/106/106_05_poses.npz,0.0,3.85,3.85,"a Robot jumps straight to the left, then jumps straight back to the right.","a Robot jumps to the left, then jumps to the right",a Robot is jumping from side to side.,,"a Robot jumps straight to the left, then jumps straight back to the right. | a Robot jumps to the left, then jumps to the right | a Robot is jumping from side to side.","एक रोबोट सीधे बाईं ओर कूदता है, फिर सीधे दाईं ओर कूदता है।","একটি রোবট সরাসরি বাম দিকে লাফ দেয়, তারপরে ডানদিকে সোজা লাফ দেয়।","ஒரு ரோபோ நேராக இடது பக்கம் தாவி, பின்னர் நேராக மீண்டும் வலது பக்கம் தாவுகிறது.","एक रोबोट बाईं ओर कूदता है, फिर दाईं ओर कूदता है","একটি রোবট বাম দিকে লাফ দেয়, তারপর ডানদিকে লাফ দেয়","ஒரு ரோபோ இடதுபுறம் குதித்து, வலதுபுறம் தாவுகிறது",एक रोबोट एक ओर से दूसरी ओर छलांग लगा रहा है।,একটি রোবট এপাশ থেকে ওপাশে লাফ দিচ্ছে।,ஒரு ரோபோ பக்கத்திலிருந்து பக்கமாக குதிக்கிறது.,,,,"రోబోట్ నేరుగా ఎడమవైపుకు దూకుతుంది, ఆపై నేరుగా కుడివైపుకి దూకుతుంది.","ఒక రోబోట్ ఎడమవైపుకు దూకుతుంది, ఆపై కుడివైపుకి దూకుతుంది",ఒక రోబోట్ ప్రక్కనుండి దూకుతోంది.,,CMU,clip::55,reserve
https://huggingface.co/datasets/AdiShingote/pragya-vla-g1-motion-dataset/resolve/main/KIT/_D%3A%5CHumanML3d%5Camass_data%5CKIT%5C675%5CExperiment3a_03_poses_keypoints_retargeted.npz,95,KIT/675/Experiment3a_03_poses.npz,13.85,23.85,10.0,"the Robot moves slowly, leaning their upper body toward the left side, moves his right hand as if brushing something of his leg and kicks the right leg out slightly.",Robot is sitting down and looking around,a Robot is sitting and has the reflexes checked in his right knee.,,"the Robot moves slowly, leaning their upper body toward the left side, moves his right hand as if brushing something of his leg and kicks the right leg out slightly. | Robot is sitting down and looking around | a Robot is sitting and has the reflexes checked in his right knee.","रोबोट धीरे-धीरे चलता है, अपने ऊपरी शरीर को बाईं ओर झुकाता है, अपने दाहिने हाथ को ऐसे हिलाता है मानो अपने पैर पर कुछ ब्रश कर रहा हो और दाहिने पैर को थोड़ा बाहर निकालता है।","রোবটটি ধীরে ধীরে চলে, তাদের শরীরের উপরের অংশটি বাম দিকে ঝুঁকে পড়ে, তার ডান হাতটি এমনভাবে সরিয়ে নেয় যেন তার পায়ের কিছু ব্রাশ করছে এবং ডান পাটি সামান্য লাথি মেরেছে।","ரோபோ மெதுவாக நகர்கிறது, அவர்களின் மேல் உடலை இடது பக்கம் சாய்த்து, வலது கையை தனது காலை துலக்குவது போல் நகர்த்தி வலது காலை சிறிது உதைக்கிறது.",रोबोट नीचे बैठा है और चारों ओर देख रहा है,রোবট বসে আছে এবং চারপাশে তাকাচ্ছে,ரோபோ உட்கார்ந்து சுற்றிப் பார்க்கிறது,एक रोबोट बैठा है और उसके दाहिने घुटने की सजगता की जाँच कर रहा है।,একটি রোবট বসে আছে এবং তার ডান হাঁটুতে রিফ্লেক্স পরীক্ষা করা হয়েছে।,ஒரு ரோபோ அமர்ந்து தனது வலது முழங்காலில் உள்ள அனிச்சைகளை சரிபார்த்துள்ளது.,,,,"రోబోట్ నెమ్మదిగా కదులుతుంది, వారి పైభాగాన్ని ఎడమ వైపుకు వంచి, తన కుడి చేతిని తన కాలుని ఏదో బ్రష్ చేస్తున్నట్లుగా కదిలిస్తుంది మరియు కుడి కాలును కొద్దిగా బయటకు తన్నుతుంది.",రోబో కూర్చుని చుట్టూ చూస్తోంది,ఒక రోబోట్ కూర్చుని ఉంది మరియు అతని కుడి మోకాలిలో రిఫ్లెక్స్‌లను తనిఖీ చేసింది.,,KIT,clip::119,reserve
https://huggingface.co/datasets/AdiShingote/pragya-vla-g1-motion-dataset/resolve/main/KIT/_D%3A%5CHumanML3d%5Camass_data%5CKIT%5C675%5CExperiment3a_03_poses_keypoints_retargeted.npz,767,KIT/675/Experiment3a_03_poses.npz,0.5,10.5,10.0,a Robot raises his arms and then puts his hands on his knees.,"a Robot lifts both arms out to their side, then returns them to their thighs while sitting.",sitting with arms outstretched.,,"a Robot raises his arms and then puts his hands on his knees. | a Robot lifts both arms out to their side, then returns them to their thighs while sitting. | sitting with arms outstretched.",एक रोबोट अपनी भुजाएँ उठाता है और फिर अपने हाथों को उसके घुटनों पर रख देता है।,একটি রোবট তার হাত বাড়ায় এবং তারপর তার হাঁটুতে হাত রাখে।,"ஒரு ரோபோ தனது கைகளை உயர்த்தி, பின்னர் தனது கைகளை முழங்கால்களில் வைக்கிறது.","एक रोबोट बैठते समय दोनों भुजाओं को उनकी तरफ उठाता है, फिर उन्हें उनकी जाँघों पर लौटा देता है।","একটি রোবট উভয় হাত তাদের পাশে তুলে নেয়, তারপর বসার সময় তাদের উরুতে ফিরিয়ে দেয়।","ஒரு ரோபோ இரு கைகளையும் அவற்றின் பக்கமாக உயர்த்தி, உட்கார்ந்திருக்கும் போது அவற்றைத் தொடைகளுக்குத் திருப்பிக் கொடுக்கிறது.",बाहें फैलाकर बैठे हैं.,হাত প্রসারিত করে বসে আছে।,கைகளை நீட்டி உட்கார்ந்து.,,,,"ఒక రోబోట్ తన చేతులను పైకెత్తి, ఆపై తన మోకాళ్లపై తన చేతులను ఉంచుతుంది.","ఒక రోబోట్ రెండు చేతులను వారి వైపుకు ఎత్తి, కూర్చున్నప్పుడు వాటిని వారి తొడలకు తిరిగి ఇస్తుంది.",చేతులు చాచి కూర్చున్నాడు.,,KIT,clip::119,reserve
https://huggingface.co/datasets/AdiShingote/pragya-vla-g1-motion-dataset/resolve/main/Eyes_Japan_Dataset/_D%3A%5CHumanML3d%5Camass_data%5CEyes_Japan_Dataset%5Ckanno%5Cwalk_11_baggage_on_the_head_kanno_poses_keypoints_retargeted.npz,97,Eyes_Japan_Dataset/kanno/walk-11-baggage on the head-kanno_poses.npz,3.8,13.8,10.0,a Robot with his left arm raised walk clockwise.,Robot has their left hand up on their head like Robot bumped it and are walking in a circle,a Robot walks in a clockwise circle carrying something on his left shoulder.,,a Robot with his left arm raised walk clockwise. | Robot has their left hand up on their head like Robot bumped it and are walking in a circle | a Robot walks in a clockwise circle carrying something on his left shoulder.,एक रोबोट अपना बायां हाथ ऊपर उठाकर दक्षिणावर्त चलता है।,একটি রোবট তার বাম হাত দিয়ে ঘড়ির কাঁটার দিকে হাঁটছে।,ஒரு ரோபோ தனது இடது கையை உயர்த்தி கடிகார திசையில் செல்கிறது.,रोबोट ने अपना बायां हाथ अपने सिर पर रखा हुआ है जैसे रोबोट ने उससे टकराया हो और वे एक घेरे में चल रहे हों,রোবট তাদের বাম হাত তাদের মাথার উপরে তুলে রেখেছে যেমন রোবট এটিকে ধাক্কা দিয়েছে এবং একটি বৃত্তে হাঁটছে,ரோபோட் தனது இடது கையை ரோபோ மோதியது போல் தலையில் வைத்துக்கொண்டு வட்டமாக நடந்து கொண்டிருக்கிறது,एक रोबोट अपने बाएं कंधे पर कुछ लेकर दक्षिणावर्त चक्र में चलता है।,একটি রোবট তার বাম কাঁধে কিছু নিয়ে ঘড়ির কাঁটার দিকে বৃত্তে হাঁটছে।,ஒரு ரோபோ தனது இடது தோளில் எதையோ சுமந்து கொண்டு கடிகார திசையில் சுற்றுகிறது.,,,,ఒక రోబోట్ తన ఎడమ చేయి పైకెత్తి సవ్యదిశలో నడుస్తుంది.,రోబోట్ తమ ఎడమ చేతిని రోబోట్ ఢీకొట్టినట్లు తలపై ఉంచి వృత్తాకారంలో నడుస్తోంది,ఒక రోబోట్ తన ఎడమ భుజంపై ఏదో మోస్తూ సవ్యదిశలో నడుస్తుంది.,,Eyes_Japan_Dataset,clip::122,reserve
https://huggingface.co/datasets/AdiShingote/pragya-vla-g1-motion-dataset/resolve/main/Eyes_Japan_Dataset/_D%3A%5CHumanML3d%5Camass_data%5CEyes_Japan_Dataset%5Ckanno%5Cwalk_11_baggage_on_the_head_kanno_poses_keypoints_retargeted.npz,2657,Eyes_Japan_Dataset/kanno/walk-11-baggage on the head-kanno_poses.npz,11.65,21.65,10.0,a Robot is holding his left hand up while walking to the right.  Robot then holds both hands up while continuing to walk.,walking in a circle with his hands on his head.,a Robot walks in a circular path first with one object on their right shoulder supported with their right hand and then picks up an object with their left hand and places it on their left shoulder supported by their left hand.,,a Robot is holding his left hand up while walking to the right.  Robot then holds both hands up while continuing to walk. | walking in a circle with his hands on his head. | a Robot walks in a circular path first with one object on their right shoulder supported with their right hand and then picks up an object with their left hand and places it on their left shoulder supported by their left hand.,एक रोबोट दाहिनी ओर चलते समय अपना बायां हाथ ऊपर उठाए हुए है।  इसके बाद रोबोट चलते हुए दोनों हाथ ऊपर उठा लेता है।,ডানদিকে হাঁটার সময় একটি রোবট তার বাম হাত ধরে আছে।  রোবট তারপর হাঁটা চালিয়ে যাওয়ার সময় উভয় হাত উপরে রাখে।,ஒரு ரோபோ வலதுபுறம் நடந்து செல்லும் போது இடது கையை உயர்த்தி பிடித்துள்ளது.  தொடர்ந்து நடக்கும்போது ரோபோ இரண்டு கைகளையும் உயர்த்திப் பிடிக்கிறது.,अपने सिर पर हाथ रखकर एक वृत्त में चलना।,তার মাথায় হাত দিয়ে একটি বৃত্তে হাঁটা।,தலையில் கைகளை வைத்து வட்டமாக நடப்பது.,एक रोबोट पहले अपने दाहिने हाथ के सहारे एक वस्तु को अपने दाहिने कंधे पर रखकर गोलाकार पथ पर चलता है और फिर अपने बाएं हाथ से एक वस्तु को उठाकर अपने बाएं हाथ के सहारे अपने बाएं कंधे पर रखता है।,একটি রোবট প্রথমে তাদের ডান কাঁধে একটি বস্তু নিয়ে তাদের ডান হাত দ্বারা সমর্থিত একটি বৃত্তাকার পথে হাঁটে এবং তারপর তাদের বাম হাত দিয়ে একটি বস্তু তুলে নেয় এবং তাদের বাম কাঁধে তাদের বাম হাত দ্বারা সমর্থিত রাখে।,"ஒரு ரோபோ முதலில் ஒரு வட்டப் பாதையில் தனது வலது தோளில் ஒரு பொருளை வலது கையால் தாங்கிக்கொண்டு செல்கிறது, பின்னர் தனது இடது கையால் ஒரு பொருளை எடுத்து அதை தனது இடது கையால் தாங்கி இடது தோளில் வைக்கிறது.",,,,ఒక రోబోట్ తన ఎడమ చేతిని పైకి పట్టుకుని కుడివైపుకి నడుస్తోంది.  రోబోట్ నడకను కొనసాగిస్తూ రెండు చేతులను పైకి పట్టుకుంటుంది.,తలపై చేతులు పెట్టుకుని వృత్తాకారంలో నడుస్తున్నాడు.,"ఒక రోబోట్ మొదట వృత్తాకార మార్గంలో నడుస్తుంది, వారి కుడి భుజంపై ఒక వస్తువును వారి కుడి చేతితో సపోర్టు చేసి, ఆపై వారి ఎడమ చేతితో ఒక వస్తువును ఎంచుకొని వారి ఎడమ భుజంపై ఉంచుతుంది.",,Eyes_Japan_Dataset,clip::122,reserve
