  train: 17,904 windows | langs=['hi'] | L=10 H=60 | window-language pairs with >=2 captions: 17,892
  val: 1,370 windows | langs=['hi'] | L=10 H=60 | window-language pairs with >=2 captions: 1,368
You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
The tokenizer you are loading from '/workspace/models/muril-base-cased' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
  loaded 100m step=170000 self_qk=True cross_qk=True text_mask_prob=0.0
  encoder keys not in ckpt (expected, new module): 210
  trainable: 9 tensors, 4,725,505 params (adapter only)
  adapter output token norm at init: 7.418 (t5-base reference 6.758, uncalibrated LayerNorm 27.713)

  [GATE] L_null (cached t5 empty-string context, 1024 val windows) = 0.03042
         Run 1 reference on BONES-SEED: L_correct 0.04815 / L_wrong 0.05900
         If L_null ~ L_wrong the native loss is a strong anchor; if it sits near L_correct, add --lambda-en and consider the repulsion term.

wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: aayush21003 (aayush21003-indraprastha-institute-of-information-techno) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /workspace/wandb/run-20260905_204156-rrg37719
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run maila-mp-hi-v3B-cal-len0.5-20260905-204142
wandb: ⭐️ View project at https://wandb.ai/aayush21003-indraprastha-institute-of-information-techno/maila-run2-motionpivot
wandb: 🚀 View run at https://wandb.ai/aayush21003-indraprastha-institute-of-information-techno/maila-run2-motionpivot/runs/rrg37719
       1 loss=0.08626 nat=0.08042 xling=0.00025 en=0.01142 a=+0.1000 gn=0.04 1.11s/step | para=1.00
      25 loss=0.06193 nat=0.05928 xling=0.00020 en=0.00510 a=+0.1000 gn=0.03 1.05s/step | para=1.00
      50 loss=0.05923 nat=0.05661 xling=0.00026 en=0.00500 a=+0.1001 gn=0.04 1.04s/step | para=1.00
      75 loss=0.04374 nat=0.04141 xling=0.00022 en=0.00443 a=+0.1004 gn=0.03 1.04s/step | para=0.99 degen=0.01
     100 loss=0.05257 nat=0.04945 xling=0.00018 en=0.00607 a=+0.1007 gn=0.05 1.04s/step | para=1.00
     125 loss=0.05244 nat=0.05037 xling=0.00015 en=0.00401 a=+0.1011 gn=0.03 1.04s/step | para=1.00
     150 loss=0.05402 nat=0.05196 xling=0.00017 en=0.00395 a=+0.1016 gn=0.02 1.04s/step | para=1.00 degen=0.00
     175 loss=0.04291 nat=0.04065 xling=0.00012 en=0.00440 a=+0.1020 gn=0.03 1.04s/step | para=1.00
     200 loss=0.03593 nat=0.03418 xling=0.00014 en=0.00337 a=+0.1024 gn=0.02 1.04s/step | para=1.00
     225 loss=0.04735 nat=0.04211 xling=0.00018 en=0.01030 a=+0.1029 gn=0.03 1.04s/step | para=1.00 degen=0.00
     250 loss=0.04248 nat=0.04105 xling=0.00011 en=0.00275 a=+0.1034 gn=0.02 1.03s/step | para=1.00
     275 loss=0.04104 nat=0.03750 xling=0.00015 en=0.00694 a=+0.1039 gn=0.04 1.03s/step | para=1.00
     300 loss=0.02543 nat=0.02443 xling=0.00013 en=0.00187 a=+0.1044 gn=0.01 1.03s/step | para=1.00
     325 loss=0.05030 nat=0.04848 xling=0.00011 en=0.00352 a=+0.1047 gn=0.02 1.03s/step | para=1.00
     350 loss=0.05445 nat=0.05171 xling=0.00017 en=0.00530 a=+0.1050 gn=0.04 1.03s/step | para=1.00
     375 loss=0.03952 nat=0.03774 xling=0.00015 en=0.00341 a=+0.1053 gn=0.02 1.03s/step | para=0.99 degen=0.01
     400 loss=0.03562 nat=0.03343 xling=0.00009 en=0.00429 a=+0.1055 gn=0.01 1.03s/step | para=1.00
