  train: 17,904 windows | langs=['hi'] | L=10 H=60 | window-language pairs with >=2 captions: 17,892
  val: 1,370 windows | langs=['hi'] | L=10 H=60 | window-language pairs with >=2 captions: 1,368
You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
The tokenizer you are loading from '/workspace/models/muril-base-cased' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
  loaded 100m step=170000 self_qk=True cross_qk=True text_mask_prob=0.0
  encoder keys not in ckpt (expected, new module): 212
  trainable: 9 tensors, 4,725,505 params (adapter only)
  [geometry gate] n=128  token_norm=7.050 (t5 6.758)  cos(i,j)=0.6245 (t5 0.6563)  btwn/mu=0.7721 (t5 0.7201)

  [GATE] L_null (cached t5 empty-string context, 1024 val windows) = 0.03042
         Run 1 reference on BONES-SEED: L_correct 0.04815 / L_wrong 0.05900
         If L_null ~ L_wrong the native loss is a strong anchor; if it sits near L_correct, add --lambda-en and consider the repulsion term.

wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: aayush21003 (aayush21003-indraprastha-institute-of-information-techno) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /workspace/wandb/run-20260905_210630-lm14mxca
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run maila-mp-hi-v4C-corpus-len0.1-20260905-210619
wandb: ⭐️ View project at https://wandb.ai/aayush21003-indraprastha-institute-of-information-techno/maila-run2-motionpivot
wandb: 🚀 View run at https://wandb.ai/aayush21003-indraprastha-institute-of-information-techno/maila-run2-motionpivot/runs/lm14mxca
       1 loss=0.07610 nat=0.07469 xling=0.00137 en=0.00723 a=+0.1000 gn=0.05 1.22s/step | para=1.00
      25 loss=0.05684 nat=0.05574 xling=0.00143 en=0.00389 a=+0.1000 gn=0.04 1.03s/step | para=1.00
      50 loss=0.05313 nat=0.05229 xling=0.00100 en=0.00340 a=+0.1001 gn=0.03 1.03s/step | para=1.00
      75 loss=0.03868 nat=0.03802 xling=0.00073 en=0.00293 a=+0.1002 gn=0.02 1.02s/step | para=0.99 degen=0.01
     100 loss=0.04176 nat=0.04098 xling=0.00089 en=0.00328 a=+0.1004 gn=0.04 1.02s/step | para=1.00
     125 loss=0.04769 nat=0.04702 xling=0.00073 en=0.00304 a=+0.1006 gn=0.02 1.02s/step | para=1.00
     150 loss=0.05270 nat=0.05192 xling=0.00082 en=0.00369 a=+0.1008 gn=0.03 1.02s/step | para=1.00 degen=0.00
     175 loss=0.03874 nat=0.03798 xling=0.00071 en=0.00398 a=+0.1008 gn=0.02 1.02s/step | para=1.00
     200 loss=0.03440 nat=0.03369 xling=0.00078 en=0.00320 a=+0.1010 gn=0.01 1.02s/step | para=1.00
     225 loss=0.03943 nat=0.03767 xling=0.00083 en=0.01343 a=+0.1013 gn=0.02 1.02s/step | para=1.00 degen=0.00
     250 loss=0.03989 nat=0.03938 xling=0.00044 en=0.00297 a=+0.1016 gn=0.01 1.02s/step | para=1.00
     275 loss=0.03680 nat=0.03572 xling=0.00079 en=0.00690 a=+0.1019 gn=0.04 1.02s/step | para=1.00
     300 loss=0.02413 nat=0.02362 xling=0.00052 en=0.00250 a=+0.1023 gn=0.01 1.03s/step | para=1.00
     325 loss=0.04800 nat=0.04734 xling=0.00051 en=0.00406 a=+0.1028 gn=0.01 1.02s/step | para=1.00
     350 loss=0.05007 nat=0.04927 xling=0.00055 en=0.00520 a=+0.1031 gn=0.03 1.02s/step | para=1.00
     375 loss=0.03682 nat=0.03602 xling=0.00066 en=0.00471 a=+0.1035 gn=0.02 1.02s/step | para=0.99 degen=0.01
     400 loss=0.03338 nat=0.03268 xling=0.00036 en=0.00518 a=+0.1036 gn=0.01 1.02s/step | para=1.00
     425 loss=0.03777 nat=0.03706 xling=0.00050 en=0.00458 a=+0.1040 gn=0.07 1.02s/step | para=1.00
