prompt_id,motion_family,primitive_tag,duration_s,imperative_en,kimodo_input
kimodo_000000,basic_locomotion,unclassified_motion,3,Spin back.,A person spins around 180 degrees.
kimodo_000001,posture_transition,rise,3,Rise.,A person stands up from a crouched pose.
kimodo_000002,basic_locomotion,crouch,3,Duck.,A person ducks down low.
kimodo_000003,basic_locomotion,unclassified_motion,3,Raise your left arm.,A person raises their left arm.
kimodo_000004,basic_locomotion,turn_left,3,Rotate left and stay ready.,A person rotates to the left and stays in a ready stance.
kimodo_000005,basic_locomotion,unclassified_motion,3,Close stance.,A person stands with feet together.
kimodo_000006,basic_locomotion,unclassified_motion,3,Spin around on the spot.,A person spins around 360 degrees in place.
kimodo_000007,basic_locomotion,unclassified_motion,3,Look up and stay ready.,A person looks up and stays in a ready stance.
kimodo_000008,basic_locomotion,move_backward,3,Back up.,A person steps backward.
kimodo_000009,basic_locomotion,unclassified_motion,3,Spread legs on the spot.,A person stands with their legs spread apart in place.
kimodo_000010,basic_locomotion,stop,3,Freeze before anything else.,A person freezes in place.
kimodo_000011,basic_locomotion,turn_left,3,Face left in a neutral manner.,A person turns to face left.
kimodo_000012,basic_locomotion,stop,3,Stop.,A person stops walking and stands still.
kimodo_000013,basic_locomotion,turn_around,3,Pivot around.,A person pivots around 180 degrees.
kimodo_000014,basic_locomotion,rise,3,Straighten up.,A person straightens up to a standing pose.
kimodo_000015,posture_transition,stop,3,Stop where you stand.,A person stops walking and stands still in place.
kimodo_000016,basic_locomotion,unclassified_motion,3,Steady yourself.,A person stands stably.
kimodo_000017,basic_locomotion,unclassified_motion,3,Open your hands.,A person opens their hands.
kimodo_000018,posture_transition,turn_left,3,Pivot left where you stand.,A person pivots to the left in place.
kimodo_000019,basic_locomotion,unclassified_motion,3,Bend down without moving away.,A person bends down in place.
kimodo_000020,safety_intervention,unclassified_motion,3,Shift your weight.,A person shifts their weight from one leg to the other.
kimodo_000021,basic_locomotion,stop,3,Pause.,A person pauses and stands still.
kimodo_000022,basic_locomotion,unclassified_motion,3,Center your balance without moving away.,A person centers their balance in place.
kimodo_000023,safety_intervention,unclassified_motion,3,Lift your right hand in a steady way.,A person lifts their right hand steadily.
kimodo_000024,basic_locomotion,unclassified_motion,3,Spin right.,A person spins to the right.
kimodo_000025,posture_transition,sidestep,3,Step right where you stand.,A person takes a step to the right in place.
kimodo_000026,basic_locomotion,rise,3,Raise your body.,A person stands up tall.
kimodo_000027,basic_locomotion,unclassified_motion,3,Close your hands.,A person closes their hands.
kimodo_000028,basic_locomotion,unclassified_motion,3,Relax.,A person relaxes into a neutral pose.
