  train: 17,904 windows | langs=['hi'] | L=10 H=60 | window-language pairs with >=2 captions: 17,892
  val: 1,370 windows | langs=['hi'] | L=10 H=60 | window-language pairs with >=2 captions: 1,368
You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
The tokenizer you are loading from '/workspace/models/muril-base-cased' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
  loaded 100m step=170000 self_qk=True cross_qk=True text_mask_prob=0.0
  encoder keys not in ckpt (expected, new module): 210
  trainable: 9 tensors, 4,725,505 params (adapter only)

  [GATE] L_null (cached t5 empty-string context, 1024 val windows) = 0.03042
         Run 1 reference on BONES-SEED: L_correct 0.04815 / L_wrong 0.05900
         If L_null ~ L_wrong the native loss is a strong anchor; if it sits near L_correct, add --lambda-en and consider the repulsion term.

wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: aayush21003 (aayush21003-indraprastha-institute-of-information-techno) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /workspace/wandb/run-20260905_202415-mbk0dtxv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run maila-mp-hi-v2-20260905-202404
wandb: ⭐️ View project at https://wandb.ai/aayush21003-indraprastha-institute-of-information-techno/maila-run2-motionpivot
wandb: 🚀 View run at https://wandb.ai/aayush21003-indraprastha-institute-of-information-techno/maila-run2-motionpivot/runs/mbk0dtxv
       1 loss=0.17078 nat=0.14079 xling=0.00264 en=0.05736 a=+0.1000 gn=0.22 1.06s/step | para=1.00
      25 loss=0.12269 nat=0.10154 xling=0.00182 en=0.04047 a=+0.1000 gn=0.15 1.10s/step | para=1.00
      50 loss=0.12870 nat=0.10630 xling=0.00336 en=0.04145 a=+0.1002 gn=0.26 1.11s/step | para=1.00
      75 loss=0.08652 nat=0.07194 xling=0.00178 en=0.02738 a=+0.1004 gn=0.24 1.11s/step | para=0.99 degen=0.01
     100 loss=0.08381 nat=0.07097 xling=0.00131 en=0.02436 a=+0.1007 gn=0.24 1.11s/step | para=1.00
     125 loss=0.07313 nat=0.06357 xling=0.00133 en=0.01780 a=+0.1012 gn=0.29 1.11s/step | para=1.00
     150 loss=0.06942 nat=0.06143 xling=0.00118 en=0.01480 a=+0.1016 gn=0.25 1.11s/step | para=1.00 degen=0.00
     175 loss=0.05474 nat=0.04891 xling=0.00082 en=0.01084 a=+0.1020 gn=0.15 1.10s/step | para=1.00
     200 loss=0.04462 nat=0.03993 xling=0.00076 en=0.00862 a=+0.1024 gn=0.12 1.10s/step | para=1.00
     225 loss=0.05537 nat=0.04920 xling=0.00068 en=0.01167 a=+0.1027 gn=0.11 1.09s/step | para=1.00 degen=0.00
     250 loss=0.04802 nat=0.04501 xling=0.00050 en=0.00553 a=+0.1030 gn=0.08 1.09s/step | para=1.00
     275 loss=0.04409 nat=0.03970 xling=0.00044 en=0.00834 a=+0.1034 gn=0.13 1.09s/step | para=1.00
     300 loss=0.02782 nat=0.02600 xling=0.00038 en=0.00326 a=+0.1037 gn=0.05 1.09s/step | para=1.00
     325 loss=0.05076 nat=0.04830 xling=0.00031 en=0.00463 a=+0.1039 gn=0.04 1.09s/step | para=1.00
     350 loss=0.05731 nat=0.05349 xling=0.00032 en=0.00732 a=+0.1042 gn=0.07 1.09s/step | para=1.00
     375 loss=0.04068 nat=0.03824 xling=0.00035 en=0.00453 a=+0.1045 gn=0.07 1.09s/step | para=0.99 degen=0.01
     400 loss=0.03683 nat=0.03431 xling=0.00019 en=0.00485 a=+0.1047 gn=0.01 1.09s/step | para=1.00
